if_family,if_role,age_group,temperature_C,mdd
masselot,sensitivity,<15,25,0.0
masselot,sensitivity,<15,30,0.0
masselot,sensitivity,<15,35,0.0
masselot,sensitivity,<15,40,0.0
masselot,sensitivity,<15,45,0.0
masselot,sensitivity,15-64,25,1.094649515262483e-06
masselot,sensitivity,15-64,30,3.840338694838262e-06
masselot,sensitivity,15-64,35,4.5173093473471735e-06
masselot,sensitivity,15-64,40,4.5173093473471735e-06
masselot,sensitivity,15-64,45,4.5173093473471735e-06
masselot,sensitivity,65+,25,1.6345707628345392e-05
masselot,sensitivity,65+,30,6.284383587281218e-05
masselot,sensitivity,65+,35,7.342068805379569e-05
masselot,sensitivity,65+,40,7.342068805379569e-05
masselot,sensitivity,65+,45,7.342068805379569e-05
masselot_tail,main,<15,25,0.0
masselot_tail,main,<15,30,0.0
masselot_tail,main,<15,35,0.0
masselot_tail,main,<15,40,0.0
masselot_tail,main,<15,45,0.0
masselot_tail,main,15-64,25,1.094649515262483e-06
masselot_tail,main,15-64,30,3.840338694838262e-06
masselot_tail,main,15-64,35,5.858752106592582e-06
masselot_tail,main,15-64,40,6.689345704971255e-06
masselot_tail,main,15-64,45,7.028761641106327e-06
masselot_tail,main,65+,25,1.6345707628345392e-05
masselot_tail,main,65+,30,6.284383587281218e-05
masselot_tail,main,65+,35,9.26071151973987e-05
masselot_tail,main,65+,40,0.00010269641774923189
masselot_tail,main,65+,45,0.0001060899926764566
burke_polynomial,sensitivity,<15,25,6.671532522078839e-08
burke_polynomial,sensitivity,<15,30,2.8703574403876444e-07
burke_polynomial,sensitivity,<15,35,4.955163516698362e-07
burke_polynomial,sensitivity,<15,40,8.060526731693112e-07
burke_polynomial,sensitivity,<15,45,8.060526731693112e-07
burke_polynomial,sensitivity,15-64,25,1.9263467772845304e-07
burke_polynomial,sensitivity,15-64,30,1.3353554206140589e-06
burke_polynomial,sensitivity,15-64,35,7.97202275381401e-06
burke_polynomial,sensitivity,15-64,40,3.131678708812839e-05
burke_polynomial,sensitivity,15-64,45,3.131678708812839e-05
burke_polynomial,sensitivity,65+,25,5.405627974180434e-06
burke_polynomial,sensitivity,65+,30,3.156428000101319e-05
burke_polynomial,sensitivity,65+,35,0.0001193424279596231
burke_polynomial,sensitivity,65+,40,0.00036180963938038614
burke_polynomial,sensitivity,65+,45,0.00036180963938038614
burke_powerlaw,sensitivity,<15,25,1.2527612523397312e-07
burke_powerlaw,sensitivity,<15,30,3e-07
burke_powerlaw,sensitivity,<15,35,5e-07
burke_powerlaw,sensitivity,<15,40,7.184130242846405e-07
burke_powerlaw,sensitivity,<15,45,7.184130242846405e-07
burke_powerlaw,sensitivity,15-64,25,8.575880581067419e-08
burke_powerlaw,sensitivity,15-64,30,1.5e-06
burke_powerlaw,sensitivity,15-64,35,8e-06
burke_powerlaw,sensitivity,15-64,40,2.623637279846483e-05
burke_powerlaw,sensitivity,15-64,45,2.623637279846483e-05
burke_powerlaw,sensitivity,65+,25,4.25878762945604e-06
burke_powerlaw,sensitivity,65+,30,3.5e-05
burke_powerlaw,sensitivity,65+,35,0.00012
burke_powerlaw,sensitivity,65+,40,0.0002876405462266418
burke_powerlaw,sensitivity,65+,45,0.0002876405462266418
